transaction_id,grant_id,fiscal_year,period,period_date,budget_line,appropriation,budgeted,obligated,expended,cost_center,source_system,classification
ERP-MOCK-2026-00029,MOCK-ONR-N00014-25-C-0004,2026,2026-05,2026-05-01,Advanced Technology Dev,6.2,104166.67,60156.25,47552.08,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00030,MOCK-ONR-N00014-25-C-0004,2026,2026-05,2026-05-31,Applied Research,6.2,104166.67,60156.25,52135.42,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00031,MOCK-ONR-N00014-25-C-0004,2026,2026-06,2026-06-30,Advanced Technology Dev,6.2,104166.67,60156.25,42968.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00032,MOCK-ONR-N00014-25-C-0004,2026,2026-07,2026-07-30,Basic Research,6.2,104166.67,60156.25,47552.08,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00033,MOCK-ONR-N00014-25-C-0005,2026,2026-01,2026-01-01,Basic Research,6.2,200000.0,98700.0,70500.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00034,MOCK-ONR-N00014-25-C-0005,2026,2026-01,2026-01-31,Advanced Technology Dev,6.2,200000.0,98700.0,78020.0,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00035,MOCK-ONR-N00014-25-C-0005,2026,2026-03,2026-03-02,Advanced Technology Dev,6.2,200000.0,98700.0,85540.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00036,MOCK-ONR-N00014-25-C-0005,2026,2026-04,2026-04-01,Advanced Technology Dev,6.2,200000.0,98700.0,70500.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00037,MOCK-ONR-N00014-25-C-0005,2026,2026-05,2026-05-01,Advanced Technology Dev,6.2,200000.0,98700.0,78020.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00038,MOCK-ONR-N00014-25-C-0005,2026,2026-05,2026-05-31,Basic Research,6.2,200000.0,98700.0,85540.0,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00039,MOCK-ONR-N00014-25-C-0005,2026,2026-06,2026-06-30,Applied Research,6.2,200000.0,98700.0,70500.0,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00040,MOCK-ONR-N00014-25-C-0005,2026,2026-07,2026-07-30,Basic Research,6.2,200000.0,98700.0,78020.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00041,MOCK-ONR-N00014-25-C-0006,2026,2026-01,2026-01-01,Advanced Technology Dev,6.1,104166.67,60156.25,42968.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00042,MOCK-ONR-N00014-25-C-0006,2026,2026-01,2026-01-31,Basic Research,6.1,104166.67,60156.25,47552.08,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00043,MOCK-ONR-N00014-25-C-0006,2026,2026-03,2026-03-02,Advanced Technology Dev,6.1,104166.67,60156.25,52135.42,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00044,MOCK-ONR-N00014-25-C-0006,2026,2026-04,2026-04-01,RDT&E Management Support,6.1,104166.67,60156.25,42968.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00045,MOCK-ONR-N00014-25-C-0006,2026,2026-05,2026-05-01,Basic Research,6.1,104166.67,60156.25,47552.08,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00046,MOCK-ONR-N00014-25-C-0006,2026,2026-05,2026-05-31,Basic Research,6.1,104166.67,60156.25,52135.42,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00047,MOCK-ONR-N00014-25-C-0006,2026,2026-06,2026-06-30,Basic Research,6.1,104166.67,60156.25,42968.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00048,MOCK-ONR-N00014-25-C-0006,2026,2026-07,2026-07-30,Advanced Technology Dev,6.1,104166.67,60156.25,47552.08,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00049,MOCK-ONR-N00014-24-C-0007,2026,2026-01,2026-01-01,Applied Research,6.2,29166.67,13168.75,9406.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00050,MOCK-ONR-N00014-24-C-0007,2026,2026-01,2026-01-31,Applied Research,6.2,29166.67,13168.75,10409.58,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00051,MOCK-ONR-N00014-24-C-0007,2026,2026-03,2026-03-02,RDT&E Management Support,6.2,29166.67,13168.75,11412.92,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00052,MOCK-ONR-N00014-24-C-0007,2026,2026-04,2026-04-01,Advanced Technology Dev,6.2,29166.67,13168.75,9406.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00053,MOCK-ONR-N00014-24-C-0007,2026,2026-05,2026-05-01,Applied Research,6.2,29166.67,13168.75,10409.58,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00054,MOCK-ONR-N00014-24-C-0007,2026,2026-05,2026-05-31,Advanced Technology Dev,6.2,29166.67,13168.75,11412.92,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00055,MOCK-ONR-N00014-24-C-0007,2026,2026-06,2026-06-30,Applied Research,6.2,29166.67,13168.75,9406.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00056,MOCK-ONR-N00014-24-C-0007,2026,2026-07,2026-07-30,Advanced Technology Dev,6.2,29166.67,13168.75,10409.58,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00057,MOCK-ONR-N00014-25-C-0008,2026,2026-01,2026-01-01,RDT&E Management Support,6.1,62500.0,28218.75,20156.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00058,MOCK-ONR-N00014-25-C-0008,2026,2026-01,2026-01-31,RDT&E Management Support,6.1,62500.0,28218.75,22306.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00059,MOCK-ONR-N00014-25-C-0008,2026,2026-03,2026-03-02,Advanced Technology Dev,6.1,62500.0,28218.75,24456.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00060,MOCK-ONR-N00014-25-C-0008,2026,2026-04,2026-04-01,Applied Research,6.1,62500.0,28218.75,20156.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00061,MOCK-ONR-N00014-25-C-0008,2026,2026-05,2026-05-01,Applied Research,6.1,62500.0,28218.75,22306.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00062,MOCK-ONR-N00014-25-C-0008,2026,2026-05,2026-05-31,Applied Research,6.1,62500.0,28218.75,24456.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00063,MOCK-ONR-N00014-25-C-0008,2026,2026-06,2026-06-30,RDT&E Management Support,6.1,62500.0,28218.75,20156.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00064,MOCK-ONR-N00014-25-C-0008,2026,2026-07,2026-07-30,Advanced Technology Dev,6.1,62500.0,28218.75,22306.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00065,MOCK-ONR-N00014-25-C-0009,2026,2026-01,2026-01-01,RDT&E Management Support,6.1,62500.0,22968.75,16406.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00066,MOCK-ONR-N00014-25-C-0009,2026,2026-01,2026-01-31,Basic Research,6.1,62500.0,22968.75,18156.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00067,MOCK-ONR-N00014-25-C-0009,2026,2026-03,2026-03-02,Basic Research,6.1,62500.0,22968.75,19906.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00068,MOCK-ONR-N00014-25-C-0009,2026,2026-04,2026-04-01,RDT&E Management Support,6.1,62500.0,22968.75,16406.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00069,MOCK-ONR-N00014-25-C-0009,2026,2026-05,2026-05-01,Advanced Technology Dev,6.1,62500.0,22968.75,18156.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00070,MOCK-ONR-N00014-25-C-0009,2026,2026-05,2026-05-31,Basic Research,6.1,62500.0,22968.75,19906.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00071,MOCK-ONR-N00014-25-C-0009,2026,2026-06,2026-06-30,Advanced Technology Dev,6.1,62500.0,22968.75,16406.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00072,MOCK-ONR-N00014-25-C-0009,2026,2026-07,2026-07-30,Basic Research,6.1,62500.0,22968.75,18156.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00073,MOCK-ONR-N00014-25-C-0010,2026,2026-01,2026-01-01,Advanced Technology Dev,6.3,62500.0,33468.75,23906.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00074,MOCK-ONR-N00014-25-C-0010,2026,2026-01,2026-01-31,RDT&E Management Support,6.3,62500.0,33468.75,26456.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00075,MOCK-ONR-N00014-25-C-0010,2026,2026-03,2026-03-02,Applied Research,6.3,62500.0,33468.75,29006.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00076,MOCK-ONR-N00014-25-C-0010,2026,2026-04,2026-04-01,Applied Research,6.3,62500.0,33468.75,23906.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00077,MOCK-ONR-N00014-25-C-0010,2026,2026-05,2026-05-01,Advanced Technology Dev,6.3,62500.0,33468.75,26456.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00078,MOCK-ONR-N00014-25-C-0010,2026,2026-05,2026-05-31,Basic Research,6.3,62500.0,33468.75,29006.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00079,MOCK-ONR-N00014-25-C-0010,2026,2026-06,2026-06-30,Basic Research,6.3,62500.0,33468.75,23906.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00080,MOCK-ONR-N00014-25-C-0010,2026,2026-07,2026-07-30,RDT&E Management Support,6.3,62500.0,33468.75,26456.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00081,MOCK-ONR-N00014-24-C-0011,2026,2026-01,2026-01-01,Basic Research,6.1,62500.0,38718.75,27656.25,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00082,MOCK-ONR-N00014-24-C-0011,2026,2026-01,2026-01-31,Advanced Technology Dev,6.1,62500.0,38718.75,30606.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00083,MOCK-ONR-N00014-24-C-0011,2026,2026-03,2026-03-02,RDT&E Management Support,6.1,62500.0,38718.75,33556.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00084,MOCK-ONR-N00014-24-C-0011,2026,2026-04,2026-04-01,Advanced Technology Dev,6.1,62500.0,38718.75,27656.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00085,MOCK-ONR-N00014-24-C-0011,2026,2026-05,2026-05-01,Basic Research,6.1,62500.0,38718.75,30606.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00086,MOCK-ONR-N00014-24-C-0011,2026,2026-05,2026-05-31,Basic Research,6.1,62500.0,38718.75,33556.25,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00087,MOCK-ONR-N00014-24-C-0011,2026,2026-06,2026-06-30,Advanced Technology Dev,6.1,62500.0,38718.75,27656.25,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00088,MOCK-ONR-N00014-24-C-0011,2026,2026-07,2026-07-30,RDT&E Management Support,6.1,62500.0,38718.75,30606.25,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00089,MOCK-ONR-N00014-25-C-0012,2026,2026-01,2026-01-01,Applied Research,6.1,104166.67,60156.25,42968.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00090,MOCK-ONR-N00014-25-C-0012,2026,2026-01,2026-01-31,Basic Research,6.1,104166.67,60156.25,47552.08,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00091,MOCK-ONR-N00014-25-C-0012,2026,2026-03,2026-03-02,Basic Research,6.1,104166.67,60156.25,52135.42,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00092,MOCK-ONR-N00014-25-C-0012,2026,2026-04,2026-04-01,RDT&E Management Support,6.1,104166.67,60156.25,42968.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00093,MOCK-ONR-N00014-25-C-0012,2026,2026-05,2026-05-01,Applied Research,6.1,104166.67,60156.25,47552.08,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00094,MOCK-ONR-N00014-25-C-0012,2026,2026-05,2026-05-31,Advanced Technology Dev,6.1,104166.67,60156.25,52135.42,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00095,MOCK-ONR-N00014-25-C-0012,2026,2026-06,2026-06-30,Basic Research,6.1,104166.67,60156.25,42968.75,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00096,MOCK-ONR-N00014-25-C-0012,2026,2026-07,2026-07-30,Applied Research,6.1,104166.67,60156.25,47552.08,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00097,MOCK-ONR-N00014-25-C-0013,2026,2026-01,2026-01-01,RDT&E Management Support,6.1,104166.67,38281.25,27343.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00098,MOCK-ONR-N00014-25-C-0013,2026,2026-01,2026-01-31,Applied Research,6.1,104166.67,38281.25,30260.42,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00099,MOCK-ONR-N00014-25-C-0013,2026,2026-03,2026-03-02,RDT&E Management Support,6.1,104166.67,38281.25,33177.08,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00100,MOCK-ONR-N00014-25-C-0013,2026,2026-04,2026-04-01,Basic Research,6.1,104166.67,38281.25,27343.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00101,MOCK-ONR-N00014-25-C-0013,2026,2026-05,2026-05-01,Advanced Technology Dev,6.1,104166.67,38281.25,30260.42,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00102,MOCK-ONR-N00014-25-C-0013,2026,2026-05,2026-05-31,Applied Research,6.1,104166.67,38281.25,33177.08,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00103,MOCK-ONR-N00014-25-C-0013,2026,2026-06,2026-06-30,Applied Research,6.1,104166.67,38281.25,27343.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00104,MOCK-ONR-N00014-25-C-0013,2026,2026-07,2026-07-30,Advanced Technology Dev,6.1,104166.67,38281.25,30260.42,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00105,MOCK-ONR-N00014-24-C-0014,2026,2026-01,2026-01-01,Applied Research,6.1,200000.0,90300.0,64500.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00106,MOCK-ONR-N00014-24-C-0014,2026,2026-01,2026-01-31,Applied Research,6.1,200000.0,90300.0,71380.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00107,MOCK-ONR-N00014-24-C-0014,2026,2026-03,2026-03-02,Applied Research,6.1,200000.0,90300.0,78260.0,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00108,MOCK-ONR-N00014-24-C-0014,2026,2026-04,2026-04-01,RDT&E Management Support,6.1,200000.0,90300.0,64500.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00109,MOCK-ONR-N00014-24-C-0014,2026,2026-05,2026-05-01,RDT&E Management Support,6.1,200000.0,90300.0,71380.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00110,MOCK-ONR-N00014-24-C-0014,2026,2026-05,2026-05-31,RDT&E Management Support,6.1,200000.0,90300.0,78260.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00111,MOCK-ONR-N00014-24-C-0014,2026,2026-06,2026-06-30,RDT&E Management Support,6.1,200000.0,90300.0,64500.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00112,MOCK-ONR-N00014-24-C-0014,2026,2026-07,2026-07-30,RDT&E Management Support,6.1,200000.0,90300.0,71380.0,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00113,MOCK-ONR-N00014-25-C-0015,2026,2026-01,2026-01-01,Applied Research,6.2,104166.67,42656.25,30468.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00114,MOCK-ONR-N00014-25-C-0015,2026,2026-01,2026-01-31,Basic Research,6.2,104166.67,42656.25,33718.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00115,MOCK-ONR-N00014-25-C-0015,2026,2026-03,2026-03-02,RDT&E Management Support,6.2,104166.67,42656.25,36968.75,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00116,MOCK-ONR-N00014-25-C-0015,2026,2026-04,2026-04-01,Applied Research,6.2,104166.67,42656.25,30468.75,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00117,MOCK-ONR-N00014-25-C-0015,2026,2026-05,2026-05-01,Advanced Technology Dev,6.2,104166.67,42656.25,33718.75,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00118,MOCK-ONR-N00014-25-C-0015,2026,2026-05,2026-05-31,Advanced Technology Dev,6.2,104166.67,42656.25,36968.75,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00119,MOCK-ONR-N00014-25-C-0015,2026,2026-06,2026-06-30,Applied Research,6.2,104166.67,42656.25,30468.75,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00120,MOCK-ONR-N00014-25-C-0015,2026,2026-07,2026-07-30,RDT&E Management Support,6.2,104166.67,42656.25,33718.75,ONR-08-OPS,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00121,MOCK-ONR-N00014-25-C-0016,2026,2026-01,2026-01-01,Basic Research,6.2,200000.0,123900.0,88500.0,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00122,MOCK-ONR-N00014-25-C-0016,2026,2026-01,2026-01-31,Basic Research,6.2,200000.0,123900.0,97940.0,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00123,MOCK-ONR-N00014-25-C-0016,2026,2026-03,2026-03-02,RDT&E Management Support,6.2,200000.0,123900.0,107380.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00124,MOCK-ONR-N00014-25-C-0016,2026,2026-04,2026-04-01,Applied Research,6.2,200000.0,123900.0,88500.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00125,MOCK-ONR-N00014-25-C-0016,2026,2026-05,2026-05-01,Advanced Technology Dev,6.2,200000.0,123900.0,97940.0,ONR-08-FIN,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00126,MOCK-ONR-N00014-25-C-0016,2026,2026-05,2026-05-31,Advanced Technology Dev,6.2,200000.0,123900.0,107380.0,ONR-31-SNT,mock_erp,MOCK_UNCLASSIFIED
ERP-MOCK-2026-00127,MOCK-ONR-N00014-25-C-0016,2026,2026-06,2026-06-30,Basic Research,6.2,200000.0,123900.0,88500.0,ONR-08-DA,mock_erp,MOCK_UNCLASSIFIED
